
================================================================================
2020-10-24, 13:45:05

================================================================================
2020-10-24, 13:52:18

================================================================================
2020-10-24, 14:03:08
001  00208 |Loss: 3.740 | Acc: 81.697% 
001  00209 |Loss: 3.737 | Acc: 81.732% 
001  00210 |Loss: 3.733 | Acc: 81.776% 
001  00211 |Loss: 3.731 | Acc: 81.806% 
001  00212 |Loss: 3.728 | Acc: 81.854% 
001  00213 |Loss: 3.724 | Acc: 81.911% 
001  00214 |Loss: 3.720 | Acc: 81.967% 
001  00215 |Loss: 3.718 | Acc: 82.000% 
001  00216 |Loss: 3.715 | Acc: 82.014% 
001  00217 |Loss: 3.712 | Acc: 82.065% 
001  00218 |Loss: 3.710 | Acc: 82.078% 
001  00219 |Loss: 3.706 | Acc: 82.128% 
001  00220 |Loss: 3.704 | Acc: 82.159% 
001  00221 |Loss: 3.700 | Acc: 82.208% 
001  00222 |Loss: 3.697 | Acc: 82.248% 
001  00223 |Loss: 3.694 | Acc: 82.291% 
001  00224 |Loss: 3.691 | Acc: 82.339% 
001  00225 |Loss: 3.687 | Acc: 82.396% 
001  00226 |Loss: 3.684 | Acc: 82.429% 
001  00227 |Loss: 3.681 | Acc: 82.467% 
001  00228 |Loss: 3.678 | Acc: 82.509% 
001  00229 |Loss: 3.675 | Acc: 82.555% 
001  00230 |Loss: 3.672 | Acc: 82.591% 
001  00231 |Loss: 3.670 | Acc: 82.623% 
001  00232 |Loss: 3.666 | Acc: 82.655% 
001  00233 |Loss: 3.664 | Acc: 82.700% 
001  00234 |Loss: 3.661 | Acc: 82.735% 
001  00235 |Loss: 3.658 | Acc: 82.783% 
001  00236 |Loss: 3.655 | Acc: 82.814% 
001  00237 |Loss: 3.652 | Acc: 82.861% 
001  00238 |Loss: 3.650 | Acc: 82.878% 
001  00239 |Loss: 3.647 | Acc: 82.916% 
001  00240 |Loss: 3.644 | Acc: 82.958% 
001  00241 |Loss: 3.641 | Acc: 83.004% 
001  00242 |Loss: 3.638 | Acc: 83.050% 
001  00243 |Loss: 3.635 | Acc: 83.074% 
001  00244 |Loss: 3.633 | Acc: 83.111% 
001  00245 |Loss: 3.630 | Acc: 83.139% 
001  00246 |Loss: 3.627 | Acc: 83.179% 
001  00247 |Loss: 3.624 | Acc: 83.227% 
001  00248 |Loss: 3.620 | Acc: 83.278% 
001  00249 |Loss: 3.618 | Acc: 83.289% 
001  00250 |Loss: 3.615 | Acc: 83.320% 
001  00251 |Loss: 3.613 | Acc: 83.363% 
001  00252 |Loss: 3.610 | Acc: 83.405% 
001  00253 |Loss: 3.608 | Acc: 83.419% 
001  00254 |Loss: 3.606 | Acc: 83.437% 
001  00255 |Loss: 3.603 | Acc: 83.490% 
001  00256 |Loss: 3.600 | Acc: 83.539% 
001  00257 |Loss: 3.597 | Acc: 83.584% 
001  00258 |Loss: 3.594 | Acc: 83.624% 
001  00259 |Loss: 3.592 | Acc: 83.625% 
001  00260 |Loss: 3.590 | Acc: 83.650% 
001  00261 |Loss: 3.588 | Acc: 83.671% 
001  00262 |Loss: 3.585 | Acc: 83.718% 
001  00263 |Loss: 3.583 | Acc: 83.749% 
001  00264 |Loss: 3.580 | Acc: 83.792% 
001  00265 |Loss: 3.578 | Acc: 83.815% 
001  00266 |Loss: 3.576 | Acc: 83.838% 
001  00267 |Loss: 3.573 | Acc: 83.869% 
001  00268 |Loss: 3.572 | Acc: 83.892% 
001  00269 |Loss: 3.569 | Acc: 83.922% 
001  00270 |Loss: 3.567 | Acc: 83.956% 
001  00271 |Loss: 3.565 | Acc: 83.985% 
001  00272 |Loss: 3.563 | Acc: 83.996% 
001  00273 |Loss: 3.561 | Acc: 84.022% 
001  00274 |Loss: 3.559 | Acc: 84.036% 
001  00275 |Loss: 3.557 | Acc: 84.065% 
001  00276 |Loss: 3.554 | Acc: 84.094% 
001  00277 |Loss: 3.553 | Acc: 84.116% 
001  00278 |Loss: 3.550 | Acc: 84.147% 
001  00279 |Loss: 3.548 | Acc: 84.186% 
001  00280 |Loss: 3.545 | Acc: 84.225% 
001  00281 |Loss: 3.543 | Acc: 84.260% 
001  00282 |Loss: 3.541 | Acc: 84.291% 
001  00283 |Loss: 3.538 | Acc: 84.307% 
001  00284 |Loss: 3.536 | Acc: 84.335% 
001  00285 |Loss: 3.534 | Acc: 84.365% 
001  00286 |Loss: 3.532 | Acc: 84.399% 
001  00287 |Loss: 3.529 | Acc: 84.436% 
001  00288 |Loss: 3.527 | Acc: 84.458% 
001  00289 |Loss: 3.525 | Acc: 84.481% 
001  00290 |Loss: 3.523 | Acc: 84.507% 
001  00291 |Loss: 3.521 | Acc: 84.536% 
001  00292 |Loss: 3.519 | Acc: 84.558% 
001  00293 |Loss: 3.517 | Acc: 84.584% 
001  00294 |Loss: 3.515 | Acc: 84.609% 
001  00295 |Loss: 3.513 | Acc: 84.641% 
001  00296 |Loss: 3.511 | Acc: 84.676% 
001  00297 |Loss: 3.509 | Acc: 84.707% 
001  00298 |Loss: 3.506 | Acc: 84.748% 
001  00299 |Loss: 3.505 | Acc: 84.766% 
001  00300 |Loss: 3.502 | Acc: 84.803% 
001  00301 |Loss: 3.501 | Acc: 84.831% 
001  00302 |Loss: 3.498 | Acc: 84.854% 
001  00303 |Loss: 3.497 | Acc: 84.875% 
001  00304 |Loss: 3.494 | Acc: 84.895% 
001  00305 |Loss: 3.493 | Acc: 84.898% 
001  00306 |Loss: 3.491 | Acc: 84.918% 
001  00307 |Loss: 3.489 | Acc: 84.954% 
001  00308 |Loss: 3.487 | Acc: 84.981% 
001  00309 |Loss: 3.485 | Acc: 84.997% 
001  00310 |Loss: 3.483 | Acc: 85.035% 
001  00311 |Loss: 3.481 | Acc: 85.048% 
001  00312 |Loss: 3.479 | Acc: 85.067% 
001  00313 |Loss: 3.477 | Acc: 85.112% 
001  00314 |Loss: 3.475 | Acc: 85.146% 
001  00315 |Loss: 3.473 | Acc: 85.178% 
001  00316 |Loss: 3.472 | Acc: 85.193% 
001  00317 |Loss: 3.470 | Acc: 85.208% 
001  00318 |Loss: 3.468 | Acc: 85.239% 
001  00319 |Loss: 3.467 | Acc: 85.260% 
001  00320 |Loss: 3.465 | Acc: 85.291% 
001  00321 |Loss: 3.464 | Acc: 85.305% 
001  00322 |Loss: 3.462 | Acc: 85.329% 
001  00323 |Loss: 3.460 | Acc: 85.359% 
001  00324 |Loss: 3.458 | Acc: 85.386% 
001  00325 |Loss: 3.456 | Acc: 85.409% 
001  00326 |Loss: 3.454 | Acc: 85.436% 
001  00327 |Loss: 3.451 | Acc: 85.474% 
001  00328 |Loss: 3.450 | Acc: 85.494% 
001  00329 |Loss: 3.447 | Acc: 85.529% 
001  00330 |Loss: 3.446 | Acc: 85.542% 
001  00331 |Loss: 3.444 | Acc: 85.574% 
001  00332 |Loss: 3.442 | Acc: 85.605% 
001  00333 |Loss: 3.440 | Acc: 85.622% 
001  00334 |Loss: 3.439 | Acc: 85.638% 
001  00335 |Loss: 3.437 | Acc: 85.657% 
001  00336 |Loss: 3.435 | Acc: 85.676% 
001  00337 |Loss: 3.433 | Acc: 85.703% 
001  00338 |Loss: 3.432 | Acc: 85.722% 
001  00339 |Loss: 3.430 | Acc: 85.755% 
001  00340 |Loss: 3.428 | Acc: 85.776% 
001  00341 |Loss: 3.426 | Acc: 85.801% 
001  00342 |Loss: 3.425 | Acc: 85.798% 
001  00343 |Loss: 3.423 | Acc: 85.828% 
001  00344 |Loss: 3.421 | Acc: 85.860% 
001  00345 |Loss: 3.420 | Acc: 85.878% 
001  00346 |Loss: 3.418 | Acc: 85.902% 
001  00347 |Loss: 3.416 | Acc: 85.919% 
001  00348 |Loss: 3.415 | Acc: 85.940% 
001  00349 |Loss: 3.413 | Acc: 85.966% 
001  00350 |Loss: 3.410 | Acc: 86.000% 
001  00351 |Loss: 3.409 | Acc: 86.020% 
001  00352 |Loss: 3.407 | Acc: 86.054% 
001  00353 |Loss: 3.405 | Acc: 86.082% 
001  00354 |Loss: 3.403 | Acc: 86.110% 
001  00355 |Loss: 3.401 | Acc: 86.146% 
001  00356 |Loss: 3.399 | Acc: 86.163% 
001  00357 |Loss: 3.398 | Acc: 86.185% 
001  00358 |Loss: 3.396 | Acc: 86.201% 
001  00359 |Loss: 3.395 | Acc: 86.226% 
001  00360 |Loss: 3.393 | Acc: 86.247% 
001  00361 |Loss: 3.391 | Acc: 86.269% 
001  00362 |Loss: 3.389 | Acc: 86.290% 
001  00363 |Loss: 3.387 | Acc: 86.320% 
001  00364 |Loss: 3.386 | Acc: 86.338% 
001  00365 |Loss: 3.384 | Acc: 86.356% 
001  00366 |Loss: 3.382 | Acc: 86.391% 
001  00367 |Loss: 3.381 | Acc: 86.409% 
001  00368 |Loss: 3.379 | Acc: 86.438% 
001  00369 |Loss: 3.377 | Acc: 86.463% 
001  00370 |Loss: 3.376 | Acc: 86.478% 
001  00371 |Loss: 3.375 | Acc: 86.493% 
001  00372 |Loss: 3.373 | Acc: 86.513% 
001  00373 |Loss: 3.371 | Acc: 86.539% 
